Timestamp                       Thread     Type        Activity             PID    TTL  
2023-03-01 20:17:46.077849+0800 0x2b31be   Default     0x0                  18243  0    eapolclient: (EAP8021X) [com.apple.eapol:Client] SecTrustEvaluateWithError failed, Error Domain=NSOSStatusErrorDomain Code=-67843 "“Example Certificate Authority”证书不受信任" UserInfo={NSLocalizedDescription=“Example Certificate Authority”证书不受信任, NSUnderlyingError=0x7fad30a171b0 {Error Domain=NSOSStatusErrorDomain Code=-67843 "证书1“Example Certificate Authority”有错误：根不受信任;" UserInfo={NSLocalizedDescription=证书1“Example Certificate Authority”有错误：根不受信任;}}}
2023-03-01 20:17:46.077863+0800 0x2b31be   Default     0x0                  18243  0    eapolclient: (EAP8021X) [com.apple.eapol:Client] server certificate not trusted status 3 0
2023-03-01 20:17:47.906659+0800 0x2b31be   Default     0x0                  18243  0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 20:17:47.995891+0800 0x2b3043   Default     0x2de9ca             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:17:48.000347+0800 0x2b3043   Default     0x2de9ca             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:18:59.422092+0800 0x2b31be   Default     0x0                  18243  0    eapolclient: [com.apple.eapol:Client] en0 STOP
2023-03-01 20:18:59.650829+0800 0x2b3752   Default     0x0                  18333  0    eapolclient: [com.apple.eapol:Client] en0 START uid 501 gid 20
2023-03-01 20:18:59.652966+0800 0x2b3752   Default     0x0                  18333  0    eapolclient: [com.apple.eapol:Client] en0: 802.1X User Mode
2023-03-01 20:18:59.872674+0800 0x2b3743   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:18:59.882086+0800 0x2b3743   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:18:59.883921+0800 0x2b3743   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:18:59.889405+0800 0x2b3743   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:18:59.891129+0800 0x2b3743   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:18:59.901748+0800 0x2b3743   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
